run;size;total_loading_time;total_computing_time;total_time
0;3;0.42786478996276855;3.811441659927368;4.239306449890137
1;3;0.3611288070678711;1.1637248992919922;1.5248537063598633
2;3;0.5430548191070557;1.3125464916229248;1.8556013107299805
3;3;0.4534780979156494;1.1969106197357178;1.6503887176513672
4;3;0.705857515335083;1.2610361576080322;1.9668936729431152
5;3;0.33925294876098633;1.19368314743042;1.5329360961914062
6;3;0.4992516040802002;1.1850776672363281;1.6843292713165283
7;3;0.5011651515960693;1.187389850616455;1.6885550022125244
8;3;0.42006802558898926;1.215233564376831;1.6353015899658203
9;3;0.39847707748413086;1.255303144454956;1.653780221939087
