run;size;total_loading_time;total_computing_time;total_time
0;2;0.38213014602661133;28.82604670524597;29.208176851272583
1;2;0.2919158935546875;29.03767442703247;29.329590320587158
2;2;0.22223997116088867;28.767613410949707;28.989853382110596
3;2;0.3281116485595703;28.671823501586914;28.999935150146484
4;2;0.3367304801940918;28.80778217315674;29.14451265335083
5;2;0.2994120121002197;28.05733895301819;28.356750965118408
6;2;0.27178096771240234;29.127603769302368;29.39938473701477
7;2;0.1869335174560547;29.01115083694458;29.198084354400635
8;2;0.2289280891418457;28.49209237098694;28.721020460128784
9;2;0.34530067443847656;28.951055765151978;29.296356439590454
