run;size;total_loading_time;total_computing_time;total_time
0;4;0.6623201370239258;37.47878122329712;38.141101360321045
1;4;0.4284186363220215;36.11245775222778;36.540876388549805
2;4;0.39434218406677246;35.0589120388031;35.45325422286987
3;4;0.30458784103393555;36.455867290496826;36.76045513153076
4;4;0.24822068214416504;34.873658418655396;35.12187910079956
5;4;0.23785781860351562;36.17105293273926;36.40891075134277
6;4;0.3050971031188965;36.6732439994812;36.9783411026001
7;4;0.3536086082458496;34.28606867790222;34.63967728614807
8;4;0.38897275924682617;36.35896325111389;36.74793601036072
9;4;7.300759553909302;36.80896210670471;44.109721660614014
