rank;size;batch_size;total_loading_time;total_computing_time;total_time
0;1;16;0.2895176410675049;6.600107192993164;6.889624834060669
0;1;16;0.32596898078918457;6.147392511367798;6.473361492156982
0;1;16;0.21393060684204102;6.346308708190918;6.560239315032959
1;2;16;0.10004067420959473;19.101730346679688;19.201771020889282
0;2;16;0.10823345184326172;19.090673685073853;19.198907136917114
0;2;16;0.11422348022460938;19.070647716522217;19.184871196746826
1;2;16;0.149200439453125;19.028363704681396;19.17756414413452
1;2;16;0.06782221794128418;19.14737629890442;19.215198516845703
0;2;16;0.11893963813781738;19.101751804351807;19.220691442489624
2;3;16;0.07215213775634766;13.103554725646973;13.17570686340332
1;3;16;0.12662529945373535;13.090079307556152;13.216704607009888
0;3;16;0.04622983932495117;13.153021097183228;13.199250936508179
2;3;16;0.03862929344177246;13.293030023574829;13.331659317016602
1;3;16;0.04438328742980957;13.327737808227539;13.372121095657349
0;3;16;0.06104087829589844;13.292220830917358;13.353261709213257
1;3;16;0.11825990676879883;13.096428155899048;13.214688062667847
2;3;16;0.10211324691772461;13.146957159042358;13.249070405960083
0;3;16;0.09847784042358398;13.150270700454712;13.248748540878296
1;4;16;0.050604820251464844;11.538189888000488;11.588794708251953
0;4;16;0.0364992618560791;11.542724609375;11.579223871231079
2;4;16;0.04532623291015625;11.5585355758667;11.603861808776855
3;4;16;0.05352187156677246;11.55141282081604;11.604934692382812
0;4;16;0.05973005294799805;11.358502864837646;11.418232917785645
1;4;16;0.05018448829650879;11.35901927947998;11.40920376777649
3;4;16;0.047417402267456055;11.36063265800476;11.408050060272217
2;4;16;0.039644479751586914;11.381459712982178;11.421104192733765
0;4;16;0.02986311912536621;11.398947954177856;11.428811073303223
2;4;16;0.028917789459228516;11.404449939727783;11.433367729187012
3;4;16;0.0275421142578125;11.370181798934937;11.397723913192749
1;4;16;0.04145026206970215;11.357932329177856;11.399382591247559
1;5;16;0.03274703025817871;9.974396467208862;10.007143497467041
4;5;16;0.046082496643066406;10.237783670425415;10.283866167068481
0;5;16;0.04866647720336914;10.05513072013855;10.103797197341919
2;5;16;0.053186893463134766;10.327840566635132;10.381027460098267
3;5;16;0.04698753356933594;10.23475193977356;10.281739473342896
0;5;16;0.053005218505859375;9.937876224517822;9.990881443023682
4;5;16;0.08090353012084961;10.015903949737549;10.096807479858398
1;5;16;0.07871103286743164;9.974374294281006;10.053085327148438
3;5;16;0.07125496864318848;9.986610889434814;10.057865858078003
