size;batch_size;total_loading_time;total_computing_time;total_time
1;16;1.164886;24.566457;25.731343
1;32;1.533166;42.661452;44.194618
1;64;2.646135;84.578290;87.224424
1;128;3.840936;160.119893;163.960829
1;256;8.043904;321.404823;329.448727
2;16;1.329649;92.878998;94.208647
2;32;0.980789;178.694848;179.675637
2;64;1.525899;348.123945;349.649844
2;128;2.498765;690.708741;693.207506
2;256;4.203736;1375.429391;1379.633127
3;16;0.248730;62.111478;62.360208
3;32;0.660998;114.665726;115.326724
3;64;1.243872;232.135087;233.378959
3;128;1.416097;459.245669;460.661766
3;256;2.038629;917.619646;919.658276
4;16;0.162543;52.229208;52.391750
4;32;0.929249;93.899701;94.828950
4;64;0.523786;178.825783;179.349568
4;128;0.882195;351.211670;352.093865
4;256;1.478455;697.441268;698.919723
5;16;0.167910;45.213680;45.381590
5;32;0.207226;78.973937;79.181163
5;64;0.707166;145.131024;145.838190
5;128;1.317004;292.812772;294.129776
5;256;1.083499;582.353111;583.436610
6;16;0.056706;33.632538;33.689245
6;32;0.150416;68.356314;68.506729
6;64;0.733201;122.843123;123.576324
6;128;0.496988;245.213057;245.710044
6;256;0.663785;481.481874;482.145660
