run;size;total_loading_time;total_computing_time;total_time
0;3;0.37848424911499023;30.78454041481018;31.16302466392517
1;3;0.30598902702331543;31.538701057434082;31.844690084457397
2;3;0.3351752758026123;30.33239459991455;30.667569875717163
3;3;0.2108287811279297;30.134966373443604;30.345795154571533
4;3;0.3020758628845215;30.781157732009888;31.08323359489441
5;3;0.32816362380981445;30.849480628967285;31.1776442527771
6;3;0.2382645606994629;30.17986273765564;30.418127298355103
7;3;0.6394970417022705;31.382681846618652;32.02217888832092
8;3;0.2169630527496338;30.688811779022217;30.90577483177185
9;3;0.17737865447998047;30.41454291343689;30.59192156791687
