rank;size;total_loading_time;total_computing_time;total_time
0;3;0.11055755615234375;10.273945093154907;10.384502649307251
2;3;0.14728116989135742;10.24882698059082;10.396108150482178
1;3;0.12064552307128906;10.261768341064453;10.382413864135742
;;;;
0;3;0.13304400444030762;10.478434801101685;10.611478805541992
1;3;0.07606244087219238;10.52896237373352;10.605024814605713
2;3;0.09688258171081543;10.531303882598877;10.628186464309692
;;;;
0;3;0.14690375328063965;10.077569961547852;10.224473714828491
2;3;0.11915373802185059;10.089023113250732;10.208176851272583
1;3;0.06911778450012207;10.165801525115967;10.234919309616089
;;;;
0;3;0.08280420303344727;10.028033971786499;10.110838174819946
2;3;0.06867766380310059;10.054255962371826;10.122933626174927
1;3;0.059346914291381836;10.052676439285278;10.11202335357666
;;;;
1;3;0.0912938117980957;10.276891469955444;10.36818528175354
0;3;0.10512900352478027;10.249923467636108;10.355052471160889
2;3;0.10565304756164551;10.254342794418335;10.35999584197998
;;;;
0;3;0.10459113121032715;10.283673763275146;10.388264894485474
1;3;0.13456201553344727;10.266538858413696;10.401100873947144
2;3;0.08901047706604004;10.299268007278442;10.388278484344482
;;;;
0;3;0.08177781105041504;10.05648398399353;10.138261795043945
1;3;0.09036755561828613;10.053610801696777;10.143978357315063
2;3;0.06611919403076172;10.069767951965332;10.135887145996094
;;;;
0;3;0.23487186431884766;10.43893051147461;10.673802375793457
2;3;0.22282981872558594;10.444257259368896;10.667087078094482
1;3;0.18179535865783691;10.499494075775146;10.681289434432983
;;;;
0;3;0.08487534523010254;10.212403535842896;10.297278881072998
1;3;0.09326863288879395;10.210674285888672;10.303942918777466
2;3;0.038819074630737305;10.26573395729065;10.304553031921387
;;;;
0;3;0.07735300064086914;10.113071203231812;10.19042420387268
2;3;0.033591270446777344;10.157727241516113;10.19131851196289
1;3;0.06643438339233398;10.143744468688965;10.210178852081299
;;;;
