rank;size;total_loading_time;total_computing_time;total_time
0;4;0.15159034729003906;9.377636432647705;9.529226779937744
1;4;0.19127345085144043;9.347453355789185;9.538726806640625
3;4;0.15912437438964844;9.379714012145996;9.538838386535645
2;4;0.16033196449279785;9.373977422714233;9.534309387207031
;;;;
1;4;0.10812520980834961;9.028428316116333;9.136553525924683
0;4;0.1055150032043457;9.021466493606567;9.126981496810913
3;4;0.10649323463439941;9.037781953811646;9.144275188446045
2;4;0.10828518867492676;9.024780988693237;9.133066177368164
;;;;
0;4;0.11083006858825684;8.752197742462158;8.863027811050415
1;4;0.0753638744354248;8.779741764068604;8.855105638504028
2;4;0.1318647861480713;8.727116823196411;8.858981609344482
3;4;0.07628345489501953;8.799855709075928;8.876139163970947
;;;;
0;4;0.11066603660583496;9.07466745376587;9.185333490371704
1;4;0.07244277000427246;9.121385097503662;9.193827867507935
3;4;0.05682063102722168;9.130938291549683;9.187758922576904
2;4;0.06465840339660645;9.128876447677612;9.193534851074219
;;;;
1;4;0.05749058723449707;8.744876861572266;8.802367448806763
0;4;0.0753021240234375;8.69853401184082;8.773836135864258
2;4;0.06360411643981934;8.697985887527466;8.761590003967285
3;4;0.05182385444641113;8.732261657714844;8.784085512161255
;;;;
0;4;0.06406474113464355;9.033913373947144;9.097978115081787
1;4;0.05372762680053711;9.051261901855469;9.104989528656006
2;4;0.05826854705810547;9.041345834732056;9.099614381790161
3;4;0.06179690361022949;9.04453182220459;9.10632872581482
;;;;
1;4;0.04378247261047363;9.205621242523193;9.249403715133667
0;4;0.11512351036071777;9.130951166152954;9.246074676513672
2;4;0.06829285621643066;9.174314498901367;9.242607355117798
3;4;0.07789826393127441;9.162357091903687;9.240255355834961
;;;;
0;4;0.09926056861877441;8.554927825927734;8.654188394546509
1;4;0.09293508529663086;8.573890924453735;8.666826009750366
3;4;0.07303905487060547;8.592547178268433;8.665586233139038
2;4;0.08837389945983887;8.56470274925232;8.653076648712158
;;;;
0;4;0.11042189598083496;9.070626258850098;9.181048154830933
1;4;0.11690473556518555;9.072358131408691;9.189262866973877
2;4;0.07646512985229492;9.110135555267334;9.186600685119629
3;4;0.08518099784851074;9.105843305587769;9.19102430343628
;;;;
0;4;1.9829416275024414;9.02722454071045;11.01016616821289
1;4;1.789581537246704;9.249142169952393;11.038723707199097
2;4;1.7630112171173096;9.271060228347778;11.034071445465088
3;4;1.7652251720428467;9.261535167694092;11.026760339736938
;;;;
