size;batch_size;total_loading_time;total_computing_time;total_time
2;4;64;0.10411691665649414;0.3876810073852539;0.49179792404174805
0;4;64;0.06771373748779297;0.39760351181030273;0.4653172492980957
0;4;64;0.13926148414611816;0.41971850395202637;0.5589799880981445
2;4;64;0.13805365562438965;0.414567232131958;0.5526208877563477
3;4;64;0.07399868965148926;0.3927645683288574;0.4667632579803467
1;4;64;0.11188387870788574;0.40105724334716797;0.5129411220550537
3;4;64;0.06923389434814453;0.41117382049560547;0.48040771484375
0;4;64;0.0941319465637207;0.4000558853149414;0.4941878318786621
1;4;64;0.08248019218444824;0.3891141414642334;0.47159433364868164
2;4;64;0.07017660140991211;0.39649081230163574;0.46666741371154785
1;3;64;0.1869673728942871;1.4751107692718506;1.6620781421661377
0;3;64;0.2107391357421875;1.4491910934448242;1.6599302291870117
2;3;64;0.21312856674194336;1.4482507705688477;1.661379337310791
0;3;64;0.23663783073425293;0.44548463821411133;0.6821224689483643
1;3;64;0.18595314025878906;0.43808579444885254;0.6240389347076416
2;3;64;0.1995406150817871;0.41808652877807617;0.6176271438598633
2;3;64;0.17141294479370117;0.43760251998901367;0.6090154647827148
0;3;64;0.23230195045471191;0.43149709701538086;0.6637990474700928
1;3;64;0.16547894477844238;0.4550018310546875;0.6204807758331299
1;2;64;0.19410037994384766;0.4530501365661621;0.6471505165100098
0;2;64;0.20033907890319824;0.45002079010009766;0.6503598690032959
0;2;64;0.3375241756439209;0.4431774616241455;0.7807016372680664
1;2;64;0.2845113277435303;0.4458315372467041;0.7303428649902344
0;2;64;0.25301361083984375;0.44858741760253906;0.7016010284423828
1;2;64;0.18724775314331055;0.4455423355102539;0.6327900886535645
0;1;64;0.3341028690338135;0.5088775157928467;0.8429803848266602
0;1;64;0.3104119300842285;0.5034637451171875;0.813875675201416
0;1;64;0.3271324634552002;0.5144190788269043;0.8415515422821045
0;1;128;0.5196738243103027;0.7317414283752441;1.2514152526855469
0;1;128;0.4234490394592285;0.7242803573608398;1.1477293968200684
0;1;128;0.7627272605895996;0.7320418357849121;1.4947690963745117
1;2;128;0.30600786209106445;0.5065655708312988;0.8125734329223633
0;2;128;0.32738184928894043;0.5114121437072754;0.8387939929962158
1;2;128;0.34380578994750977;0.5022871494293213;0.846092939376831
0;2;128;0.35121607780456543;0.5030398368835449;0.8542559146881104
0;2;128;0.4621865749359131;0.5169892311096191;0.9791758060455322
1;2;128;0.42395734786987305;0.510103702545166;0.9340610504150391
1;3;128;0.14970088005065918;0.4674665927886963;0.6171674728393555
2;3;128;0.18557071685791016;0.46976613998413086;0.655336856842041
0;3;128;0.23334407806396484;0.46998023986816406;0.7033243179321289
0;3;128;0.16962695121765137;0.4625577926635742;0.6321847438812256
1;3;128;0.1751236915588379;0.4829552173614502;0.6580789089202881
2;3;128;0.13277029991149902;0.4493272304534912;0.5820975303649902
2;3;128;0.13003993034362793;0.46508193016052246;0.5951218605041504
0;3;128;0.13049054145812988;0.47456955909729004;0.6050601005554199
1;3;128;0.11816000938415527;0.47944211959838867;0.597602128982544
3;4;128;0.10389876365661621;0.4427001476287842;0.5465989112854004
0;4;128;0.1136629581451416;0.4643740653991699;0.5780370235443115
2;4;128;0.11869096755981445;0.4464743137359619;0.5651652812957764
1;4;128;0.14075517654418945;0.4768977165222168;0.6176528930664062
3;4;128;0.5306055545806885;0.4553487300872803;0.9859542846679688
2;4;128;0.52890944480896;0.45261502265930176;0.9815244674682617
0;4;128;0.5142951011657715;0.45494747161865234;0.9692425727844238
1;4;128;0.48990440368652344;0.4498410224914551;0.9397454261779785
0;4;128;0.20808100700378418;0.47695302963256836;0.6850340366363525
1;4;128;0.2014451026916504;0.4727060794830322;0.6741511821746826
3;4;128;0.19515395164489746;0.4472382068634033;0.6423921585083008
2;4;128;0.21615338325500488;0.4532589912414551;0.66941237449646
