size;batch_size;total_loading_time;total_computing_time;total_time
1;16;0.21349549293518064;0.3840034008026123;0.597498893737793
1;64;0.3238824208577474;0.5089201132456461;0.8328025341033936
1;128;0.5686167081197103;0.7293545405069987;1.297971248626709
2;16;0.08350626627604163;0.3730967442194621;0.4566030104955037
2;64;0.24278938770294187;0.4477016131083171;0.6904910008112589
2;128;0.369092583656311;0.5083996057510376;0.8774921894073486
3;16;0.06781045595804845;0.36547703213161886;0.4332874880896674
3;64;0.20024005572001136;0.7775901158650717;0.977830171585083
3;128;0.15831412209404835;0.46901631355285645;0.6273304356469048
4;16;0.0694150328636169;0.37087446451187134;0.4402894973754883
4;64;0.09248898426691687;0.401061475276947;0.49355045954386395
4;128;0.2801296512285868;0.4577795664469401;0.737909217675527
