size;batch_size;loading_time;computing_time;total_time
1;32;0.28448343276977534;10.02591363588969;10.310397068659466
2;32;0.10486908753712965;36.17613184452057;36.2810009320577
3;32;0.14408702320522726;23.82817980978224;23.97226683298747
4;32;0.08689743280410761;19.951063017050426;20.037960449854534
5;32;0.07457890510559076;16.712513256073;16.787092161178588
6;32;0.08237400319841169;14.979995012283325;15.062369015481737
