nb_cpu;batch_size;computing_time;loading_time;total_time
1;25;5.485164642333984;0.5844821929931641;12.069646835327148
1;30;5.1555328369140625;0.26834750175476074;10.423880338668823
1;35;5.16756272315979;0.32975268363952637;10.497315406799316
2;25;5.1555328369140625;0.26834750175476074;10.423880338668823
2;30;5.122488737106323;0.3136146068572998;10.436103343963623
2;35;5.16756272315979;0.32975268363952637;10.497315406799316
3;25;5.16756272315979;0.32975268363952637;10.497315406799316
3;30;5.127490997314453;0.3006937503814697;10.428184747695923
3;35;5.1179444789886475;0.2330167293548584;10.350961208343506
4;25;5.122488737106323;0.3136146068572998;10.436103343963623
4;30;5.1586222648620605;0.26684117317199707;10.425463438034058
4;35;5.1339452266693115;0.2972691059112549;10.431214332580566

