rank;size;total_loading_time;total_computing_time;total_time
0;2;0.17636609077453613;14.428153276443481;14.604519367218018
1;2;0.2057640552520752;14.39789342880249;14.603657484054565
;;;;
0;2;0.15572547912597656;14.508054733276367;14.663780212402344
1;2;0.13619041442871094;14.529619693756104;14.665810108184814
;;;;
1;2;0.12949180603027344;14.365705013275146;14.49519681930542
0;2;0.09274816513061523;14.40190839767456;14.494656562805176
;;;;
0;2;0.15224552154541016;14.34763479232788;14.499880313873291
1;2;0.17586612701416016;14.324188709259033;14.500054836273193
;;;;
0;2;0.1634044647216797;14.40838074684143;14.57178521156311
1;2;0.1733260154724121;14.399401426315308;14.57272744178772
;;;;
1;2;0.15425825119018555;14.023972034454346;14.178230285644531
0;2;0.14515376091003418;14.033366918563843;14.178520679473877
;;;;
0;2;0.13888096809387207;14.559095621109009;14.69797658920288
1;2;0.13289999961853027;14.56850814819336;14.70140814781189
;;;;
1;2;0.0934898853302002;14.505367755889893;14.598857641220093
0;2;0.09344363212585449;14.505783081054688;14.599226713180542
;;;;
1;2;0.09348487854003906;14.266276359558105;14.359761238098145
0;2;0.13544321060180664;14.225816011428833;14.36125922203064
;;;;
0;2;0.1611037254333496;14.48587942123413;14.64698314666748
1;2;0.18419694900512695;14.465176343917847;14.649373292922974
;;;;
