run;size;total_loading_time;total_computing_time;total_time
0;2;0.5184037685394287;2.6459603309631348;3.1643640995025635
1;2;0.5039067268371582;0.7888598442077637;1.2927665710449219
2;2;0.4321424961090088;0.7604033946990967;1.1925458908081055
3;2;0.5261905193328857;0.785250186920166;1.3114407062530518
4;2;0.497997522354126;0.8071937561035156;1.3051912784576416
5;2;0.49627161026000977;0.7612771987915039;1.2575488090515137
6;2;0.5220699310302734;0.7829594612121582;1.3050293922424316
7;2;0.35765743255615234;0.7547800540924072;1.1124374866485596
8;2;0.5188500881195068;0.777336835861206;1.296186923980713
9;2;0.4328575134277344;0.802020788192749;1.2348783016204834
