rank;size;total_loading_time;total_computing_time;total_time
0;2;0.25390172004699707;1.3255817890167236;1.5794835090637207
1;2;0.26450204849243164;1.3203785419464111;1.5848805904388428
;;;;
1;2;0.26221561431884766;0.39185261726379395;0.6540682315826416
0;2;0.24169111251831055;0.3970072269439697;0.6386983394622803
;;;;
0;2;0.2524545192718506;0.37945556640625;0.6319100856781006
1;2;0.1796879768371582;0.3809478282928467;0.5606358051300049
;;;;
1;2;0.2882230281829834;0.380878210067749;0.6691012382507324
0;2;0.23796749114990234;0.404371976852417;0.6423394680023193
;;;;
0;2;0.2728104591369629;0.39517712593078613;0.667987585067749
1;2;0.22518706321716309;0.4120166301727295;0.6372036933898926
;;;;
1;2;0.253734827041626;0.38002800941467285;0.6337628364562988
0;2;0.2425367832183838;0.38124918937683105;0.6237859725952148
;;;;
0;2;0.3216214179992676;0.37987852096557617;0.7014999389648438
1;2;0.20044851303100586;0.40308094024658203;0.6035294532775879
;;;;
0;2;0.2029402256011963;0.37335848808288574;0.576298713684082
1;2;0.15471720695495605;0.3814215660095215;0.5361387729644775
;;;;
0;2;0.27175068855285645;0.3885493278503418;0.6603000164031982
1;2;0.2470993995666504;0.38878750801086426;0.6358869075775146
;;;;
0;2;0.2200627326965332;0.398587703704834;0.6186504364013672
1;2;0.21279478073120117;0.40343308448791504;0.6162278652191162
;;;;
